geneID,Entry,geneNames,geneName
YNL335W,P0CH64,DDI3;YNL335W;N0280,DDI3
YKL054C,P35732,DEF1;RIP1;VID31;YKL054C;YKL308,DEF1
YNL130C-A,Q3E808,DGR1;YNL130C-A,DGR1
YKL078W,P36009,DHR2;YKL078W;YKL408,DHR2
YPR082C,Q06819,DIB1;CDH1;SNU16;YPR082C;P9513.12,DIB1
YPL266W,P41819,DIM1;YPL266W,DIM1
YDR403W,P21623,DIT1;YDR403W;D9509.21,DIT1
YLL001W,P54861,DNM1;YLL001W;L1381,DNM1
YNL001W,P33309,DOM34;YNL001W;N2016,DOM34
YKL191W,P32461,DPH2;YKL191W,DPH2
YJR097W,P47138,JJJ3;DPH4;YJR097W;J1931,JJJ3
YLR143W,Q12429,DPH6;YLR143W;L3177,DPH6
YBR246W,P38332,RRT2;DPH7;ERE1;YBR246W;YBR1634,RRT2
YPR183W,P14020,DPM1;SED3;YPR183W;P9705.3,DPM1
YNR038W,P53734,DBP6;YNR038W;N3302,DBP6
YKL149C,P24309,DBR1;PRP26;YKL149C;YKL604,DBR1
YLL011W,P33750,SOF1;YLL011W;L1339,SOF1
YOL149W,Q12517,DCP1;YOL149W,DCP1
YNL118C,P53550,DCP2;PSU1;YNL118C;N1917,DCP2
YLR361C,Q05924,DCR2;YLR361C,DCR2
YFL061W,P0CH63,DDI2;YFL061W,DDI2
YMR173W,P18899,DDR48;FSP;YMR173W;YM8010.03,DDR48
YAL062W,P39708,GDH3;YAL062W;FUN51,GDH3
YDL160C,P39517,DHH1;YDL160C,DHH1
YJL065C,P40366,DLS1;YJL065C;HRD167;J1115,DLS1
YGR113W,P53267,DAM1;YGR113W;G6153,DAM1
YDR020C,Q12084,DAS2;RRT3;YDR020C;PZE232,DAS2
YML113W,P13483,DAT1;DAT;YML113W;YM8339.06,DAT1
YKL046C,P36091,DCW1;YKL046C;YKL259,DCW1
YOR204W,P06634,DED1;SPP81;YOR204W,DED1
YJR014W,P47089,TMA22;RBF22;YJR014W;J1446;YJR83.12,TMA22
YOR030W,Q99234,DFG16;ECM41;ZRG11;YOR030W;OR26.20,DFG16
YDR411C,Q12743,DFM1;YDR411C;D9461.2,DFM1
YDL215C,P33327,GDH2;YDL215C;D0892,GDH2
YMR128W,Q04217,ECM16;DHR1;YMR128W;YM9553.04,ECM16
YDL246C,Q07786,SOR2;YDL246C,SOR2
YHR068W,P38791,DYS1;YHR068W,DYS1
YLR348C,Q06143,DIC1;YLR348C,DIC1
YKL002W,P36108,DID4;CHM2;GRD7;REN1;VPL2;VPS2;VPT14;YKL002W,DID4
YLR437C,O13577,DIF1;YLR437C,DIF1
YPL049C,Q03063,DIG1;RST1;YPL049C;P7102.02,DIG1
YDL174C,P32891,DLD1;DLD;YDL174C,DLD1
YEL071W,P39976,DLD3;YEL071W,DLD3
YDL086W,Q07505,YDL086W,YDL086W
YNL116W,P53924,DMA2;CHF2;YNL116W;N1925,DMA2
YHR113W,P38821,APE4;YHR113W,APE4
YIL030C,P40318,SSM4;DOA10;YIL030C;YI3299.01C;YI9905.18C,SSM4
YKL213C,P36037,DOA1;UFD3;ZZZ4;YKL213C,DOA1
YHR044C,P38774,DOG1;YHR044C,DOG1
YJR070C,P47120,LIA1;MMD1;YJR070C;J1814,LIA1
YDR273W,Q05610,DON1;YDR273W;D9954.4,DON1
YDR440W,Q04089,DOT1;KMT4;PCH1;YDR440W;D9461.26,DOT1
YER088C,P40059,DOT6;PBF2;YER088C,DOT6
YJL090C,P47027,DPB11;YJL090C;J0918,DPB11
YIL103W,P40487,DPH1;YIL103W,DPH1
YNL102W,P13382,POL1;CDC17;YNL102W;N2181,POL1
YKR053C,P23501,YSR3;LBP2;YKR053C,YSR3
YDL219W,Q07648,DTD1;YDL219W,DTD1
YMR126C,Q04216,DLT1;YMR126C;YM9553.02C,DLT1
YER179W,P25453,DMC1;ISC2;YER179W,DMC1
YHR164C,P38859,DNA2;YHR164C,DNA2
YDL164C,P04819,CDC9;YDL164C,CDC9
YDR141C,Q03921,DOP1;YDR141C;YD9302.17C,DOP1
YLR172C,P32469,DPH5;YLR172C;L9470.17,DPH5
YJR006W,P46957,POL31;HUS2;HYS2;SDP5;YJR006W;J1427;YJR83.7,POL31
YJR043C,P47110,POL32;YJR043C;J1626,POL32
YKR035W-A,P69771,DID2;CHM1;FTI1;VPS46;YKR035W-A,DID2
YHR115C,P38823,DMA1;CHF1;YHR115C,DMA1
YMR211W,Q03652,DML1;YMR211W;YM8261.05,DML1
YDR121W,Q04603,DPB4;YDR121W,DPB4
YKR071C,P36152,DRE2;YKR071C,DRE2
YDR068W,P54858,DOS2;YDR068W;D4267;YD8554.01;YD9609.22,DOS2
YIL010W,P40553,DOT5;YIL010W,DOT5
YPR175W,P24482,DPB2;YPR175W;P9705.7,DPB2
YBR278W,P27344,DPB3;YBR278W;YBR2015,DPB3
YEL055C,P39985,POL5;YEL055C,POL5
YGL196W,P53095,DSD1;YGL196W;G1315,DSD1
YHR143W,P38844,DSE2;YHR143W,DSE2
YBR007C,P38213,DSF2;YBR007C;YBR0113,DSF2
YBR180W,P38125,DTR1;YBR180W;YBR1242,DTR1
YDL101C,P39009,DUN1;YDL101C;D2370,DUN1
YLR401C,Q06053,DUS3;YLR401C;L8084.19,DUS3
YPL167C,P14284,REV3;PSO1;YPL167C;P2535,REV3
YGR093W,P53255,DRN1;YGR093W,DRN1
YLL008W,P32892,DRS1;YLL008W;L1345,DRS1
YJL134W,P47013,LCB3;LBP1;YSR2;YJL134W;J0671,LCB3
YPR017C,P32601,DSS4;YPR017C;LPZ16C;YP9531.11C,DSS4
YFR044C,P43616,DUG1;YFR044C,DUG1
YNL191W,P53871,DUG3;YNL191W;N1410,DUG3
YBR281C,P38149,DUG2;YBR281C;YBR2018,DUG2
YGL061C,P53168,DUO1;YGL061C,DUO1
YBR208C,P32528,"DUR1,2;YBR208C;YBR1448","DUR1,2"
YDR424C,Q02647,DYN2;SLC1;YDR424C,DYN2
