,seed_id
s_1216,C00153
s_1217,C00153
s_1218,C03150
s_1219,C00253
s_1220,C00253
s_1221,C00253
s_1222,C01185
s_1223,C01185
s_1224,C00455
s_1225,C00455
s_1227,C00455
s_1228,C00455
s_1229,CHEBI:53034
s_1230,C03885
s_1231,C04145
s_1232,C04145
s_1233,C01077
s_1234,C00979
s_1235,C02571
s_1236,C02571
s_1237,C02571
s_1238,C01102
s_1239,C00346
s_1240,C00346
s_1241,C01118
s_1246,CHEBI:53035
s_1248,C06423
s_1250,C06423
s_1253,C06423
s_1254,C05752
s_1258,C01944
s_1259,C04146
s_1260,C00712
s_1262,C00510
s_1265,C00510
s_1266,C01602
s_1267,C01602
s_1268,C01602
s_1269,C00295
s_1270,C01103
s_1271,C00036
s_1272,C00036
s_1273,C00036
s_1274,C00036
s_1275,C00007
s_1276,C00007
s_1277,C00007
s_1278,C00007
s_1279,C00007
s_1282,C01260
s_1283,C01261
s_1284,CHEBI:52968
s_1286,C00249
s_1288,C00249
s_1291,C00249
s_1293,C08362
s_1295,C08362
s_1298,C08362
s_1302,C00154
s_1303,C00154
s_1305,C00154
s_1307,C01134
s_1308,C01134
s_1309,C00714
s_1310,CHEBI:53038
s_1311,C04217
s_1312,C04217
s_1313,C04217
s_1314,C03511
s_1315,C03511
s_1316,C12303
s_1317,C12303
s_1318,C00601
s_1319,C00601
s_1320,C00601
s_1321,C07086
s_1322,C00009
s_1323,C00009
s_1324,C00009
s_1325,C00009
s_1326,C00009
s_1329,C00009
s_1337,C02737
s_1346,C00157
s_1351,C00350
s_1352,C00350
s_1360,C00074
s_1361,C00074
s_1364,C04751
s_1365,C04734
s_1366,C12144
s_1367,CHEBI:46970
s_1368,C01063
s_1371,C00087
s_1372,C00931
s_1373,C00238
s_1374,C00238
s_1375,C02463
s_1376,C00235
s_1377,C00254
s_1378,C01024
s_1379,C02702
s_1382,C00100
s_1383,C02191
s_1384,C01079
s_1385,C01079
s_1386,C00119
s_1387,C00119
s_1388,C01168
s_1389,C00134
s_1390,C00134
s_1391,C00134
s_1392,C00250
s_1393,C00018
s_1394,C00534
s_1395,C00647
s_1396,C00314
s_1397,C00314
s_1398,C00627
s_1399,C00022
s_1400,C00022
s_1401,C00022
s_1403,C03722
s_1404,C03722
s_1405,C00255
s_1406,C00255
s_1407,C00255
s_1408,C03736
s_1409,CHEBI:50622
s_1410,C01242
s_1411,C01169
s_1412,C04425
s_1413,C00021
s_1415,C00021
s_1416,C00019
s_1418,C00019
s_1419,C00019
s_1420,C01137
s_1421,C01031
s_1422,C04188
s_1423,C04582
s_1424,C03172
s_1425,C03172
s_1426,C00447
s_1427,C05382
s_1429,C00493
s_1430,C00748
s_1431,C05778
s_1432,C00670
s_1433,C00670
s_1435,C00670
s_1437,C01330
s_1438,C01330
s_1439,C00315
s_1440,C00315
s_1441,C00315
s_1442,C00750
s_1443,C00750
s_1444,C00750
s_1445,C00836
s_1446,C01120
s_1447,C00751
s_1448,C00751
s_1449,C01530
s_1450,C01530
s_1451,C01530
s_1454,C00412
s_1457,C00412
s_1458,C00042
s_1459,C00042
s_1460,C00042
s_1461,C00232
s_1464,C00091
s_1466,C00089
s_1467,C00059
s_1468,C00059
s_1469,C11481
s_1470,C11481
s_1471,C00245
s_1472,C00245
s_1473,C05122
s_1474,C05122
s_1475,C00068
s_1476,C00068
s_1477,C00068
s_1479,C16529
s_1480,C16529
s_1482,C16529
s_1483,CHEBI:53039
s_1486,C04144
s_1487,C00101
s_1488,C00101
s_1489,C00378
s_1490,C00378
s_1491,C02992
s_1492,C02992
s_1493,C00214
s_1494,C00214
s_1497,C01081
s_1498,C01081
s_1503,C02341
s_1504,C02341
s_1507,C05275
s_1510,C03221
s_1513,CHEBI:52975
s_1516,C16218
s_1519,C05273
s_1520,C01083
s_1521,C01083
s_1522,C01083
s_1523,CHEBI:53040
s_1524,C00422
s_1526,C00986
s_1527,C03512
s_1528,C03512
s_1529,C00955
s_1530,C00955
s_1531,C00955
s_1532,C03028
s_1533,C02839
s_1534,C02839
s_1535,C00390
s_1537,C17568
s_1538,C00015
s_1539,C00015
s_1540,C00015
s_1541,C00052
s_1542,C00052
s_1543,C00029
s_1544,C00043
s_1545,C00105
s_1546,C00105
s_1547,C00105
s_1548,C00105
s_1549,CHEBI:53042
s_1550,C00106
s_1551,C00106
s_1552,C00086
s_1553,C00086
s_1554,C01010
s_1555,C05241
s_1556,C00299
s_1557,C00299
s_1558,C01051
s_1559,C00075
s_1560,C00075
s_1561,C02554
s_1562,C02554
s_1563,C01762
s_1564,C01762
s_1565,C00655
s_1566,C00379
s_1567,C00379
s_1568,C05437
s_1569,C05437
s_1571,C05437
s_1572,C05437
s_1576,CHEBI:52388
s_1577,CHEBI:52615
s_1578,CHEBI:52389
s_1579,CHEBI:52386
s_1582,C01635
s_1583,C01636
s_1584,C01636
s_1585,C01637
s_1586,C01637
s_1587,C01638
s_1588,C01638
s_1589,C01639
s_1590,C01640
s_1591,C01641
s_1592,C01641
s_1593,C01642
s_1594,C01643
s_1595,C01643
s_1596,C01644
s_1597,C01644
s_1598,C01645
s_1599,C01645
s_1600,C01646
s_1601,C01646
s_1602,C01647
s_1603,C01647
s_1604,C01648
s_1605,C01648
s_1606,C01649
s_1607,C01650
s_1608,C01651
s_1609,C01651
s_1610,C01652
s_1611,C01652
s_1612,C00787
s_1613,C00787
s_1614,C01653
s_1615,C01653
s_1616,C00342
s_1617,C00342
s_1618,C00342
s_1619,C00342
s_1620,C00343
s_1621,C00343
s_1622,C00343
s_1623,C00343
s_2763,C01717
s_2764,C06325
s_1845,C00229
s_2766,C05108
s_2768,C05440
s_2770,C05744
s_2771,C05745
s_2772,C05746
s_2773,C05749
s_2774,C05750
s_2775,C04618
s_2776,C05747
s_2777,C16220
s_2778,CHEBI:132146
s_2779,C05748
s_2780,C05751
s_2781,C01832
s_2782,C00083
s_2783,cpd00067
s_2784,C00011
s_2785,C00010
s_2786,C05261
s_2787,C02593
s_2788,C05259
s_2789,C00154
s_2790,C16216
s_2791,C00412
s_2792,CHEBI:52327
s_2793,C02041
s_2794,CHEBI:52328
s_2795,C16528
s_2796,CHEBI:52329
s_2797,C16529
s_2798,CHEBI:52977
s_2799,C00005
s_2800,C00006
s_2801,C05260
s_2802,C05258
s_2803,C16217
s_2804,CHEBI:52324
s_2805,CHEBI:52325
s_2806,CHEBI:52326
s_2807,CHEBI:52976
s_2808,cpd00001
s_2809,C05273
s_2810,C05272
s_2811,C16218
s_2812,trans-icos-2-enoyl-CoA
s_2813,trans-docos-2-enoyl-CoA
s_2814,CHEBI:75068
s_2815,CHEBI:52975
s_2816,CHEBI:52966
s_2817,C00007
s_2818,C00004
s_2819,C21072
s_2820,C00003
s_2821,C00510
s_2822,C00246
s_2824,C01585
s_2826,C00712
s_2828,C00246
s_2829,C01585
s_2831,C00002
s_2832,C02679
s_2833,C00020
s_2834,C00013
s_2835,C06424
s_2836,C00249
s_2837,C08362
s_2838,C01530
s_2839,C00712
s_2840,C00002
s_2841,C02679
s_2842,C00020
s_2843,C01832
s_2844,C06424
s_2845,C02593
s_2846,C00249
s_2847,C00154
s_2848,C08362
s_2849,C21072
s_2850,C01530
s_2851,C00412
s_2852,C00712
s_2853,C00510
s_2854,C21072
s_2855,C00712
s_2856,C00002
s_2857,C00010
s_2858,CHEBI:32360
s_2859,C00020
s_2860,C00013
s_2861,C02041
s_2862,C08281
s_2863,C16528
s_2864,C08320
s_2865,C16529
s_2866,CHEBI:31013
s_2867,CHEBI:52966
s_2868,C08281
s_2869,C08320
s_2870,CHEBI:31013
s_2871,C08281
s_2872,C16528
s_2873,C08320
s_2874,C16529
s_2875,CHEBI:31013
s_2876,CHEBI:52966
s_2877,C21072
s_2878,C02041
s_2879,C02041
s_2880,C16528
s_2881,C16528
s_2882,C00246
s_2883,C01585
s_2884,C00136
s_2885,C05270
s_2886,C00877
s_2887,C05271
s_2888,C05276
s_2889,trans-icos-2-enoyl-CoA
s_2890,trans-docos-2-enoyl-CoA
s_2891,CHEBI:75068
s_2892,CHEBI:76889
s_2893,cis-tetradec-7-enoyl-CoA
s_2894,CHEBI:88067
s_2895,cis-dodec-5-enoyl-CoA
s_2896,"trans-2,cis-5-dodecadienoyl-CoA"
s_2897,C02050
s_2898,CHEBI:88008
s_2899,CHEBI:88086
s_2900,CHEBI:70712
s_2901,"trans-2,cis-5-tetradecadienoyl-CoA"
s_2902,C03561
s_2903,CHEBI:74474
s_2904,C05278
s_2905,CHEBI:76453
s_2906,CHEBI:76375
s_2907,CHEBI:76463
s_2908,(R)-3-hydroxy-cis-hexadec-9-enoyl-CoA
s_2909,(R)-3-hydroxy-cis-tetradec-7-enoyl-CoA
s_2910,(R)-3-hydroxy-cis-dodec-5-enoyl-CoA
s_2911,CHEBI:87781
s_2912,CHEBI:88087
s_2913,CHEBI:88072
