,seed_id
s_0909[er],CHEBI:60409
s_0910[g],CHEBI:60409
s_0911[m],CHEBI:60409
s_0912[er],CHEBI:60413
s_0913[g],CHEBI:60413
s_0914[m],CHEBI:60413
s_0915[er],CHEBI:53004
s_0916[g],CHEBI:53004
s_0917[m],CHEBI:53004
s_0918[er],CHEBI:60414
s_0919[g],CHEBI:60414
s_0920[m],CHEBI:60414
s_0921[er],CHEBI:60415
s_0922[g],CHEBI:60415
s_0923[m],CHEBI:60415
s_0924[c],C14818
s_0925[e],C14818
s_0926[m],C14818
s_0927[c],C12296
s_0928[e],C12296
s_0929[c],C07328
s_0930[e],C07328
s_0931[m],C07328
s_0932[c],C14710
s_0933[e],C14710
s_0934[m],C14710
s_0935[c],CHEBI:50569
s_0936[e],CHEBI:50569
s_0937[c],CHEBI:48943
s_0938[e],CHEBI:48943
s_0939[m],CHEBI:48943
s_0940[c],C00311
s_0941[m],C00311
s_0942[p],C00311
s_0943[c],C00129
s_0944[lp],C00129
s_0945[m],C00129
s_0946[m],C00490
s_0949[m],C00531
s_0950[c],C00081
s_0951[c],C00166
s_0952[c],C03508
s_0953[c],C00956
s_0954[m],C05938
s_0955[c],C00041
s_0956[e],C00041
s_0957[m],C00041
s_0958[c],C05519
s_0959[c],C04076
s_0960[c],C11822
s_0961[c],C00532
s_0962[e],C00532
s_0963[c],C00259
s_0964[e],C00259
s_0965[c],C00062
s_0966[e],C00062
s_0967[m],C00062
s_0968[v],C00062
s_0969[c],C00152
s_0970[e],C00152
s_0971[m],C00152
s_0972[v],C00152
s_0973[c],C00049
s_0974[e],C00049
s_0975[m],C00049
s_0976[p],C00049
s_0977[v],C00049
s_0978[c],C00441
s_0979[c],C00327
s_0980[c],C02291
s_0981[c],C00097
s_0982[e],C00097
s_0983[c],C01419
s_0984[c],C00491
s_0985[v],C00491
s_0986[c],C03287
s_0987[c],C03738
s_0988[c],C00669
s_0989[c],C01722
s_0990[e],C01722
s_0991[c],C00025
s_0992[e],C00025
s_0993[m],C00025
s_0994[n],C00025
s_0995[p],C00025
s_0996[v],C00025
s_0997[c],C01165
s_0999[c],C00064
s_1000[e],C00064
s_1001[n],C00064
s_1002[v],C00064
s_1003[c],C00037
s_1004[e],C00037
s_1005[m],C00037
s_1006[c],C00135
s_1007[e],C00135
s_1008[m],C00135
s_1009[v],C00135
s_1010[c],C00860
s_1011[c],C01100
s_1012[c],C00155
s_1014[c],C00263
s_1015[e],C00263
s_1016[c],C00407
s_1017[e],C00407
s_1018[m],C00407
s_1019[v],C00407
s_1020[c],C00328
s_1021[c],C00123
s_1022[e],C00123
s_1023[m],C00123
s_1024[v],C00123
s_1025[c],C00047
s_1026[e],C00047
s_1027[m],C00047
s_1028[v],C00047
s_1029[c],C00073
s_1030[e],C00073
s_1031[m],C00073
s_1032[c],C00079
s_1033[e],C00079
s_1034[m],C00079
s_1035[c],C00148
s_1036[e],C00148
s_1037[m],C00148
s_1038[c],C00449
s_1039[c],C00065
s_1040[er],C00065
s_1041[e],C00065
s_1042[m],C00065
s_1043[c],C00247
s_1044[e],C00247
s_1045[c],C00188
s_1046[e],C00188
s_1047[m],C00188
s_1048[c],C00078
s_1049[e],C00078
s_1050[m],C00078
s_1051[c],C00082
s_1052[e],C00082
s_1053[m],C00082
s_1054[p],C00082
s_1055[v],C00082
s_1056[c],C00183
s_1057[e],C00183
s_1058[m],C00183
s_1059[c],C01724
s_1061[e],C01724
s_1065[c],C02679
s_1067[e],C02679
s_1070[p],C02679
s_1073[c],C01832
s_1076[p],C01832
s_1077[c],C02047
s_1078[m],C02047
s_1079[c],C00909
s_1080[n],C00909
s_1081[c],C02165
s_1082[n],C02165
s_1085[er],C08320
s_1096[c],C01356
s_1097[m],C00248
s_1098[m],C02051
s_1099[c],C01931
s_1100[m],C01931
s_1101[c],C00083
s_1104[m],C00083
s_1105[c],C00208
